Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
102.jpg,Healthy Teeth,1701.328125,2784.0,1755.1171875,2746.0,0.9738361866791745,0.9571863562267401,0.9730089935179774,0.9577707378587027,6.671875,10.91764705882353,6.8828125,10.768627450980393,0.5934505195764936,0.6456250793752347,0.5962049361522881,0.6439696100844507,0.672754232897203,0.6563392322563661,0.6719709976706676,0.6568739238346355,0.8202159672288775,0.8101476607732483,0.8197383714763312,0.8104775899644823,0.9132963770271828,0.8585490661095382,0.9105551617809695,0.8604797900635028
104.jpg,Healthy Teeth,1498.125,2504.0,1587.7734375,2398.0,0.9769611386214745,0.9614923261464645,0.9755824833528127,0.9631224433303602,5.875,9.819607843137256,6.2265625,9.403921568627451,0.5605184956026585,0.6103957199845647,0.5652261611856408,0.605624561212488,0.6938502323512892,0.6784514371117726,0.6925369838786464,0.6799586888253579,0.8329767297777827,0.8236816357742672,0.8321880700170162,0.8245960761641774,0.9187734260769067,0.8646568423965684,0.9139127933288492,0.8703862252663621
108.jpg,Healthy Teeth,1836.796875,2714.0,1438.359375,2578.0,0.9717528853843079,0.9582628487066713,0.9778802421339157,0.9603543198105373,7.203125,10.64313725490196,5.640625,10.109803921568629,0.6057083139471172,0.6480527300490633,0.584896930311825,0.6420113070676536,0.6663912397162449,0.6529248012586766,0.6722100654082865,0.6548460894510009,0.8163278996311745,0.8080376236653072,0.8198841780448545,0.8092256109707606,0.907735730332289,0.8640814509160256,0.9277496716918793,0.8708924025281922
110.jpg,Healthy Teeth,1549.921875,2600.0000000000005,1701.328125,2592.0000000000005,0.9761645822440255,0.9600159936025591,0.9738361866791745,0.9601390213145512,6.078125,10.196078431372552,6.671875,10.164705882352942,0.5081388999986561,0.5579697302374826,0.5157507968883217,0.5576291842105294,0.7362456902280673,0.7203382427218349,0.7340336804241459,0.7204514488778679,0.8580476037074326,0.8487274254563917,0.8567576555970456,0.8487941145400738,0.9008852161885584,0.834278432621854,0.8912030522172608,0.8347883451368637
111.jpg,Healthy Teeth,1520.0390625,2418.0,1366.640625,2296.0,0.9766241340002461,0.9628148740503799,0.9789831663488451,0.9646910466582597,5.9609375,9.48235294117647,5.359375,9.003921568627451,0.47866851637514896,0.5214141089601975,0.4707798111309114,0.516124290626629,0.7576624614593847,0.7439525293040073,0.7599168030512603,0.7456927151757944,0.8704380859425813,0.8625268281647867,0.8717320706795525,0.8635350109728003,0.8935061549211406,0.8311617791411423,0.9042532402043284,0.8396804983077183
114.jpg,Healthy Teeth,1603.7109375,2612.0,1567.8515625,2502.0,0.9753373890828284,0.9598314520345708,0.9758888511902931,0.9615230830744624,6.2890625,10.24313725490196,6.1484375,9.811764705882352,0.5046673919414685,0.5520929163445566,0.5028563689539421,0.5474021579028224,0.7401589922408147,0.7248802468987988,0.7406835651214378,0.7264388607522525,0.8603249341038621,0.8513989939498395,0.860629749149678,0.8523138276199985,0.8954010804689566,0.8301975771493989,0.8977399382969798,0.8373485214501516
116.jpg,Healthy Teeth,1390.546875,2300.0,1390.546875,2198.0,0.9786155249438686,0.9646295328022637,0.9786155249438686,0.9661981361301634,5.453125,9.019607843137255,5.453125,8.619607843137254,0.49630059760422435,0.5412440053002603,0.49630059760422435,0.5366675431110877,0.7413078109230825,0.7273327212007448,0.7413078109230825,0.728792841365689,0.86099234080396,0.8528380392552531,0.86099234080396,0.8536936460848757,0.9100589600903611,0.8517233275381789,0.9100589600903611,0.8582990756212684
118.jpg,Healthy Teeth,1683.3984375,2662.0,1563.8671875,2634.0,0.9741119177329068,0.9590625288346201,0.9759501247577892,0.9594931258265924,6.6015625,10.43921568627451,6.1328125,10.329411764705883,0.5601933117080273,0.6071550126585326,0.554042913064849,0.6059377026432089,0.6990921713929137,0.6841817677257485,0.7008386075592921,0.684577300570966,0.8361173191561778,0.8271528079658247,0.8371610403974208,0.8273918663915943,0.9060955364471909,0.8519717818351494,0.9127633090071536,0.8535288029127661
12.jpg,Healthy Teeth,1830.8203125000002,3068.0,1896.5625000000002,2880.0,0.971844795735552,0.9528188724510196,0.9708337818718666,0.9557100236828346,7.179687500000001,12.03137254901961,7.437500000000001,11.294117647058822,0.6762348375880505,0.7359965841128575,0.6796280922497522,0.7277116391439263,0.6065529117782223,0.5879826853924961,0.6055998369016726,0.5906094161577756,0.778815069049272,0.7668002904228037,0.7782029535421159,0.7685111685315807,0.9230897210078357,0.8714606633304425,0.9203279808481606,0.8793372589281859
124.jpg,Healthy Teeth,1549.921875,2588.0,1679.4140625,2474.0,0.9761645822440255,0.9602005351705472,0.9741731913004028,0.9619536800664349,6.078125,10.149019607843137,6.5859375,9.701960784313727,0.5308068624707736,0.580793835185475,0.5374085067334676,0.5758198337346604,0.7187817392198914,0.7030039684556305,0.7168892176011029,0.7046206611747381,0.8478099664546834,0.8384533191869602,0.846693107094361,0.8394168578094784,0.9075955536997463,0.8462011099202723,0.8998753878777458,0.852975867829503
126.jpg,Healthy Teeth,1781.015625,2992.0,1922.4609375,2870.0,0.9726107153292529,0.9539876357149448,0.9704355036831421,0.9558638083228247,6.984375,11.733333333333333,7.5390625,11.254901960784315,0.5622537548205884,0.6181932252096924,0.5692209291982506,0.6131054664970216,0.6999338708369377,0.6818155290877536,0.6978825160770498,0.683522591095224,0.8366205058668701,0.8257212175351639,0.8353936294209154,0.8267542507270368,0.8998279466879431,0.8322457747309985,0.8918724480468289,0.8390860205474482
